,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
37,9.0,13.0,-6.0,6.0,-1.0,0.0,5.0,6.0,3.0,-3.0,-5.0,1.0,5.0,-6.0,-1.0,4.0,-6.0,6.0,0.0,0.0,9.0,13.0,-6.0,6.0,-1.0,0.0,5.0,6.0,3.0,-3.0,-5.0,1.0,5.0,-6.0,-1.0,4.0,-6.0,6.0,0.0,0.0,9.0,13.0,-6.0,6.0,-1.0,0.0,5.0,6.0,3.0,-3.0,-5.0,1.0,5.0,-6.0,-1.0,4.0,-6.0,6.0,0.0,0.0,0
38,-5.0,1.0,5.0,-6.0,-1.0,4.0,-6.0,6.0,0.0,0.0,-2.0,2.0,-2.0,2.0,-1.0,1.0,4.0,6.0,10.0,2.0,-5.0,1.0,5.0,-6.0,-1.0,4.0,-6.0,6.0,0.0,0.0,-2.0,2.0,-2.0,2.0,-1.0,1.0,4.0,6.0,10.0,2.0,-5.0,1.0,5.0,-6.0,-1.0,4.0,-6.0,6.0,0.0,0.0,-2.0,2.0,-2.0,2.0,-1.0,1.0,4.0,6.0,10.0,2.0,0
39,-2.0,2.0,-2.0,2.0,-1.0,1.0,4.0,6.0,10.0,2.0,-3.0,-2.0,3.0,6.0,1.0,15.0,11.0,11.0,1.0,5.0,-2.0,2.0,-2.0,2.0,-1.0,1.0,4.0,6.0,10.0,2.0,-3.0,-2.0,3.0,6.0,1.0,15.0,11.0,11.0,1.0,5.0,-2.0,2.0,-2.0,2.0,-1.0,1.0,4.0,6.0,10.0,2.0,-3.0,-2.0,3.0,6.0,1.0,15.0,11.0,11.0,1.0,5.0,0
40,-3.0,-2.0,3.0,6.0,1.0,15.0,11.0,11.0,1.0,5.0,12.0,10.0,5.0,7.0,-3.0,11.0,5.0,6.0,5.0,10.0,-3.0,-2.0,3.0,6.0,1.0,15.0,11.0,11.0,1.0,5.0,12.0,10.0,5.0,7.0,-3.0,11.0,5.0,6.0,5.0,10.0,-3.0,-2.0,3.0,6.0,1.0,15.0,11.0,11.0,1.0,5.0,12.0,10.0,5.0,7.0,-3.0,11.0,5.0,6.0,5.0,10.0,0
41,12.0,10.0,5.0,7.0,-3.0,11.0,5.0,6.0,5.0,10.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,8.0,8.0,12.0,10.0,5.0,7.0,-3.0,11.0,5.0,6.0,5.0,10.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,8.0,8.0,12.0,10.0,5.0,7.0,-3.0,11.0,5.0,6.0,5.0,10.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,8.0,8.0,0
42,7.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,11.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,11.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,11.0,0
43,8.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,11.0,10.0,11.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,11.0,10.0,11.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,9.0,11.0,10.0,11.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,8.0,0
44,10.0,11.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,8.0,8.0,7.0,7.0,8.0,6.0,5.0,-6.0,-6.0,-6.0,-4.0,10.0,11.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,8.0,8.0,7.0,7.0,8.0,6.0,5.0,-6.0,-6.0,-6.0,-4.0,10.0,11.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,8.0,8.0,7.0,7.0,8.0,6.0,5.0,-6.0,-6.0,-6.0,-4.0,0
45,8.0,7.0,7.0,8.0,6.0,5.0,-6.0,-6.0,-6.0,-4.0,-4.0,-3.0,-12.0,-9.0,-6.0,-15.0,-5.0,-11.0,-9.0,-6.0,8.0,7.0,7.0,8.0,6.0,5.0,-6.0,-6.0,-6.0,-4.0,-4.0,-3.0,-12.0,-9.0,-6.0,-15.0,-5.0,-11.0,-9.0,-6.0,8.0,7.0,7.0,8.0,6.0,5.0,-6.0,-6.0,-6.0,-4.0,-4.0,-3.0,-12.0,-9.0,-6.0,-15.0,-5.0,-11.0,-9.0,-6.0,0
46,-4.0,-3.0,-12.0,-9.0,-6.0,-15.0,-5.0,-11.0,-9.0,-6.0,-8.0,-8.0,-6.0,-9.0,-5.0,-6.0,-6.0,-7.0,-5.0,-6.0,-4.0,-3.0,-12.0,-9.0,-6.0,-15.0,-5.0,-11.0,-9.0,-6.0,-8.0,-8.0,-6.0,-9.0,-5.0,-6.0,-6.0,-7.0,-5.0,-6.0,-4.0,-3.0,-12.0,-9.0,-6.0,-15.0,-5.0,-11.0,-9.0,-6.0,-8.0,-8.0,-6.0,-9.0,-5.0,-6.0,-6.0,-7.0,-5.0,-6.0,0
