time,x,y,z
53.7,-6,-11,-90
53.8,-6,-9,-90
53.9,-6,-8,-90
54,-6,-10,-90
54.1,-6,-9,-90
54.2,-6,-9,-90
54.3,-6,-10,-90
54.4,-6,-9,-90
54.5,-6,-9,-90
54.6,-6,-9,-90
54.7,-6,-9,-90
54.8,-6,-10,-90
54.9,-6,-8,-90
55,-6,-9,-90
55.1,-6,-9,-90
55.2,-6,-9,-90
55.3,-6,-10,-90
55.4,-7,-11,-91
55.5,-3,-21,-88
55.6,-7,-17,-89
55.7,-4,-16,-88
55.8,-6,-11,-88
55.9,-10,-14,-90
56,10,-32,-87
56.1,1,-18,-90
56.2,-9,-19,-93
56.3,-2,-14,-94
56.4,1,6,-81
56.5,-6,23,-96
56.6,-2,50,-121
56.7,-13,-6,-83
56.8,-6,5,-86
56.9,-8,0,-90
57,-8,-4,-91
57.1,-9,-2,-90
57.2,-8,2,-87
